left letter,middle letter,right letter,value
b,c,a,0.0
b,c,b,0.0
b,c,c,0.0
b,c,d,0.0
b,c,e,0.0
b,c,f,0.0
b,c,g,0.0
b,c,h,6.851687347913953e-07
b,c,i,0.0
b,c,j,0.0
b,c,k,0.0
b,c,l,0.0
b,c,m,0.0
b,c,n,3.4258436739569764e-07
b,c,o,0.0
b,c,p,0.0
b,c,q,0.0
b,c,r,0.0
b,c,s,0.0
b,c,t,0.0
b,c,u,0.0
b,c,v,0.0
b,c,w,0.0
b,c,x,0.0
b,c,y,0.0
b,c,z,6.851687347913953e-07
b,c, ,6.851687347913953e-07
b,d,a,0.0
b,d,b,0.0
b,d,c,0.0
b,d,d,0.0
b,d,e,0.0
b,d,f,0.0
b,d,g,0.0
b,d,h,0.0
b,d,i,6.851687347913953e-07
b,d,j,0.0
b,d,k,6.851687347913953e-07
b,d,l,3.4258436739569764e-07
b,d,m,0.0
b,d,n,0.0
b,d,o,1.027753102187093e-06
b,d,p,0.0
b,d,q,0.0
b,d,r,0.0
b,d,s,0.0
b,d,t,2.055506204374186e-06
b,d,u,3.7684280413526738e-06
b,d,v,0.0
b,d,w,0.0
b,d,x,0.0
b,d,y,1.027753102187093e-06
b,d,z,0.0
b,d, ,0.0
b,e,a,0.0001562184715324381
b,e,b,0.0
b,e,c,0.00026173445669031297
b,e,d,0.00011819160675151568
b,e,e,0.0005241540821154173
b,e,f,0.0002716694033447882
b,e,g,0.00034258436739569763
b,e,h,0.00011408059434276731
b,e,i,0.00015210745912368974
b,e,j,0.0
b,e,k,1.3703374695827905e-06
b,e,l,0.00013360790328432207
b,e,m,0.0
b,e,n,9.386811666642114e-05
b,e,o,0.0
b,e,p,0.0
b,e,q,3.4258436739569764e-07
b,e,r,0.00031414986490185473
b,e,s,0.00014731127798014998
b,e,t,0.00016752375565649613
b,e,u,0.0
b,e,v,3.4258436739569764e-07
b,e,w,9.592362287079533e-06
b,e,x,0.0
b,e,y,4.693405833321057e-05
b,e,z,3.186034616779988e-05
b,e, ,0.0008119249507278033
b,f,a,0.0
b,f,b,0.0
b,f,c,0.0
b,f,d,0.0
b,f,e,0.0
b,f,f,0.0
b,f,g,0.0
b,f,h,0.0
b,f,i,0.0
b,f,j,0.0
b,f,k,0.0
b,f,l,0.0
b,f,m,3.4258436739569764e-07
b,f,n,3.4258436739569764e-07
b,f,o,0.0
b,f,p,0.0
b,f,q,0.0
b,f,r,0.0
b,f,s,0.0
b,f,t,1.027753102187093e-06
b,f,u,0.0
b,f,v,0.0
b,f,w,0.0
b,f,x,0.0
b,f,y,0.0
b,f,z,0.0
b,f, ,0.0
b,g,a,0.0
b,g,b,0.0
b,g,c,0.0
b,g,d,0.0
b,g,e,0.0
b,g,f,0.0
b,g,g,0.0
b,g,h,0.0
b,g,i,0.0
b,g,j,0.0
b,g,k,0.0
b,g,l,0.0
b,g,m,0.0
b,g,n,0.0
b,g,o,0.0
b,g,p,0.0
b,g,q,0.0
b,g,r,0.0
b,g,s,0.0
b,g,t,0.0
b,g,u,0.0
b,g,v,0.0
b,g,w,0.0
b,g,x,0.0
b,g,y,0.0
b,g,z,0.0
b,g, ,0.0
b,h,a,0.0
b,h,b,0.0
b,h,c,0.0
b,h,d,0.0
b,h,e,0.0
b,h,f,0.0
b,h,g,0.0
b,h,h,0.0
b,h,i,0.0
b,h,j,0.0
b,h,k,0.0
b,h,l,0.0
b,h,m,0.0
b,h,n,0.0
b,h,o,3.4258436739569764e-07
b,h,p,0.0
b,h,q,0.0
b,h,r,0.0
b,h,s,0.0
b,h,t,0.0
b,h,u,0.0
b,h,v,0.0
b,h,w,0.0
b,h,x,0.0
b,h,y,0.0
b,h,z,0.0
b,h, ,0.0
b,i,a,0.0
b,i,b,2.055506204374186e-06
b,i,c,3.4258436739569764e-07
b,i,d,8.564609184892441e-06
b,i,e,2.740674939165581e-06
b,i,f,3.4258436739569764e-07
b,i,g,2.2267983880720347e-05
b,i,h,3.4258436739569764e-07
b,i,i,3.4258436739569764e-07
b,i,j,0.0
b,i,k,0.0
b,i,l,0.00010757149136224906
b,i,m,0.0
b,i,n,6.954462658132662e-05
b,i,o,2.740674939165581e-06
b,i,p,0.0
b,i,q,0.0
b,i,r,2.1240230778533253e-05
b,i,s,1.3703374695827905e-05
b,i,t,9.181261046204697e-05
b,i,u,0.0
b,i,v,4.111012408748372e-06
b,i,w,0.0
b,i,x,0.0
b,i,y,0.0
b,i,z,0.0
b,i, ,0.0
b,j,a,0.0
b,j,b,0.0
b,j,c,0.0
b,j,d,0.0
b,j,e,5.549866751810302e-05
b,j,f,0.0
b,j,g,0.0
b,j,h,0.0
b,j,i,3.4258436739569764e-07
b,j,j,0.0
b,j,k,0.0
b,j,l,0.0
b,j,m,0.0
b,j,n,0.0
b,j,o,0.0
b,j,p,0.0
b,j,q,0.0
b,j,r,0.0
b,j,s,0.0
b,j,t,0.0
b,j,u,1.027753102187093e-06
b,j,v,0.0
b,j,w,0.0
b,j,x,0.0
b,j,y,0.0
b,j,z,0.0
b,j, ,0.0
b,k,a,0.0
b,k,b,0.0
b,k,c,0.0
b,k,d,0.0
b,k,e,0.0
b,k,f,0.0
b,k,g,0.0
b,k,h,0.0
b,k,i,0.0
b,k,j,0.0
b,k,k,0.0
b,k,l,0.0
b,k,m,0.0
b,k,n,3.4258436739569764e-07
b,k,o,0.0
b,k,p,0.0
b,k,q,0.0
b,k,r,0.0
b,k,s,0.0
b,k,t,0.0
b,k,u,0.0
b,k,v,0.0
b,k,w,0.0
b,k,x,0.0
b,k,y,0.0
b,k,z,0.0
b,k, ,0.0
b,l,a,9.147002609465126e-05
b,l,b,0.0
b,l,c,0.0
b,l,d,0.0
b,l,e,0.0008047306790124937
b,l,f,0.0
b,l,g,0.0
b,l,h,0.0
b,l,i,0.00010585856952527056
b,l,j,0.0
b,l,k,0.0
b,l,l,0.0
b,l,m,0.0
b,l,n,0.0
b,l,o,7.091496405090941e-05
b,l,p,0.0
b,l,q,0.0
b,l,r,0.0
b,l,s,0.0
b,l,t,0.0
b,l,u,7.399822335747068e-05
b,l,v,0.0
b,l,w,0.0
b,l,x,0.0
b,l,y,9.660879160558673e-05
b,l,z,0.0
